Vitamina A,Vitamina D,Viamina E,folato,niacina,riboflavina,tiamina,Vitamina B-12,Vitamina B-6,Vitamina C,Calcio,Hierro,Potasio,Magnesio,Sodio,Fosforo,Ioduro,Selenio,Zinc,
Unidades,ug,ug,mg,ug,mg,mg,mg,ug,mg,mg,mg,mg,mg,mg,mg,mg,ug,ug,mg,
Yogur bulgaro,33.9,1,0,6,0.8,0.18,0.03,0.4,0.05,1,110,0,160,11,44,90,17,2.9,0.4,
Arroz con leche,18,0.1,0.15,5,0.81,0.13,0.04,0.24,0.09,0,109,0.2,138,14,38,96,6.3,1.9,0.3,
Helado de chocolate,10.4,0.2,0.3,16,0.226,0.194,0.042,0.29,0.055,0.7,109,0.93,249,29,76,107,0,2.5,0.58,
Queso parmesano,368,0.46,0.9,20,7.7,0.33,0.02,1.5,0.1,0,1275,0.7,113,46,839,782,2,23.9,5.3,
Huevo de Gallina Fresco,190,1.75,1.11,50,3.8,0.47,0.09,2.5,0.12,0,57,1.9,130,12,140,200,20,11,1.3,
Tortilla a la francesa,231.667,1.6,1,30,0.07,0.35,0.06,1.3,0.1,0,63,2,146,13,245,220,60.5,0,1.3,
Cecina,21,0,0,0,0,0.82,0.16,8.89,0.36,0,48,9.8,62.2,39,2100,321,4.96,0,0,
Chorizo,0,0,0.29,0.9,7.1,0.15,0.33,0.9,0.14,0,18.4,2.1,180,10.3,1060,270,10.9,21.1,1.2,
Pollo frito,43.3,0,0.72,13.08,7.26,0.51,0.1,8.13,0.35,3.88,10.97,2.25,31.89,18.6,10.42,36.58,5.53,0,1.09,
Cerdo lomo asado,0,0,0.1,4,4.2,0.3,0.52,0.8,0.36,0,12,1.1,290,20,60,170,3,20,2.4,
Bacalao ahumado,2,4,0.44,5,2,0.05,0.04,1,0.17,3.5,9,0.1,390,25,1170,190,11,147.8,0.4,
Trucha,14,2.1,1.5,9.4,5.1,0.1,0.08,5.2,0.43,0,26,1,250,28,58,208,3,25,0.8,
Crema de cacahuate,0,0,5,67,15,0.1,0.15,0,0.5,0,40,2,750,180,313,366,0.5,4.1,3,
Nuez,0,0,0.8,66,3.5,0.12,0.3,0,0.73,0,77,2.3,690,140,3,304,9,19,2.1,
Esparrago verde,53,0,2,113,1.5,0.11,0.12,0,0.07,21.6,27.7,1.3,207,12.5,3,59,8,1,0.51,
